iter	Logloss
0	0.6335767999
1	0.5851166371
2	0.5439058679
3	0.5101106855
4	0.4828138128
5	0.4598388389
6	0.4382580508
7	0.4230789597
8	0.4100203349
9	0.3972445766
10	0.3878621817
11	0.3785759343
12	0.3706002475
13	0.3641370407
14	0.3588917705
15	0.3546072154
16	0.3500323823
17	0.346489298
18	0.3434724618
19	0.3403526329
20	0.3381838644
21	0.3357054679
22	0.3338555324
23	0.3318935117
24	0.3303820775
25	0.3284548343
26	0.3271761048
27	0.325411694
28	0.3239245079
29	0.3226602837
30	0.3216107618
31	0.3209416649
32	0.3199471764
33	0.3190844414
34	0.3181988761
35	0.3176957706
36	0.3171177481
37	0.3163416496
38	0.3158171895
39	0.3152413756
40	0.3146985486
41	0.3141871817
42	0.3136470621
43	0.3132424796
44	0.3127088208
45	0.3122844746
46	0.3119970032
47	0.3115282862
48	0.3111495183
49	0.3108337191
50	0.3104303275
51	0.3101324883
52	0.3097329199
53	0.3094706975
54	0.3091645821
55	0.3088862771
56	0.308547198
57	0.3082917431
58	0.3080680981
59	0.3078266423
60	0.3076398091
61	0.3074129538
62	0.3070848067
63	0.3069339924
64	0.306674008
65	0.3064669531
66	0.3062294826
67	0.3060834811
68	0.3059153883
69	0.3056344803
70	0.3054951793
71	0.3052219289
72	0.305078966
73	0.3047964716
74	0.3046379911
75	0.3044664493
76	0.3042129416
77	0.3040640292
78	0.3039291403
79	0.303730301
80	0.3035817259
81	0.3033951261
82	0.3032548274
83	0.3030166775
84	0.3028794475
85	0.3027318045
86	0.3025764144
87	0.3024829926
88	0.3023385618
89	0.3021442356
90	0.3019789374
91	0.3018539491
92	0.3017148099
93	0.3016209
94	0.3014039823
95	0.3012655048
96	0.3011234481
97	0.3010342727
98	0.3007994214
99	0.3006434764
100	0.3004910698
101	0.300344291
102	0.3002140855
103	0.3001032409
104	0.2999647537
105	0.2998161763
106	0.2996438267
107	0.2995203654
108	0.2993912165
109	0.2992321565
110	0.2991551035
111	0.2990376136
112	0.2989303695
113	0.2988385458
114	0.2987542902
115	0.2986139514
116	0.2984908927
117	0.2984377529
118	0.2983395958
119	0.298226602
120	0.2980676622
121	0.2979002391
122	0.2978002835
123	0.2976657855
124	0.2974888399
125	0.2973939732
126	0.297328309
127	0.29719061
128	0.2971346009
129	0.2970297031
130	0.2968572755
131	0.296720655
132	0.2966040295
133	0.2965197743
134	0.2963856194
135	0.2963053502
136	0.2962387215
137	0.2961691056
138	0.2960713306
139	0.2959384193
140	0.2958556432
141	0.2958087059
142	0.2957194742
143	0.2956565966
144	0.2955300785
145	0.2954573238
146	0.2953572369
147	0.2952712423
148	0.2951504216
149	0.295059117
150	0.2950157465
151	0.2949479039
152	0.2948218343
153	0.2947521816
154	0.2946635412
155	0.2945371281
156	0.2944557283
157	0.294401652
158	0.2942926496
159	0.2941680204
160	0.2940945961
161	0.2939928537
162	0.2938835934
163	0.2938004018
164	0.2936937651
165	0.2936114168
166	0.2935548646
167	0.2934792251
168	0.2934079856
169	0.2933416833
170	0.2932164973
171	0.2930959994
172	0.2930113102
173	0.2929406917
174	0.2928340987
175	0.2927732484
176	0.2927017313
177	0.2925701026
178	0.292472802
179	0.2923708072
180	0.2922974053
181	0.2922264006
182	0.2921353938
183	0.2920366801
184	0.2919617276
