iter	Passed	Remaining
0	160	159855
1	179	89472
2	196	65360
3	212	52988
4	230	45860
5	247	40936
6	265	37614
7	283	35153
8	300	33065
9	318	31529
10	336	30245
11	355	29252
12	374	28413
13	392	27616
14	410	26943
15	426	26255
16	443	25670
17	461	25170
18	480	24807
19	499	24461
20	513	23956
21	532	23653
22	553	23511
23	576	23432
24	599	23368
25	629	23594
26	667	24047
27	711	24706
28	751	25177
29	786	25416
30	823	25743
31	849	25684
32	871	25549
33	897	25494
34	922	25443
35	947	25370
36	971	25297
37	995	25201
38	1022	25201
39	1050	25222
40	1075	25164
41	1101	25133
42	1125	25051
43	1152	25043
44	1177	24991
45	1202	24943
46	1227	24899
47	1252	24835
48	1275	24757
49	1301	24720
50	1328	24713
51	1355	24709
52	1380	24672
53	1406	24631
54	1434	24641
55	1458	24587
56	1484	24551
57	1510	24533
58	1535	24484
59	1561	24461
60	1585	24401
61	1608	24339
62	1632	24272
63	1655	24210
64	1677	24127
65	1701	24085
66	1728	24063
67	1754	24044
68	1783	24068
69	1812	24076
70	1837	24044
71	1861	23997
72	1887	23963
73	1912	23928
74	1937	23895
75	1962	23854
76	1987	23825
77	2011	23775
78	2035	23732
79	2060	23700
80	2085	23662
81	2110	23626
82	2139	23637
83	2166	23623
84	2192	23605
85	2219	23592
86	2245	23564
87	2269	23523
88	2293	23478
89	2318	23443
90	2342	23398
91	2366	23359
92	2390	23318
93	2416	23288
94	2438	23232
95	2464	23206
96	2490	23189
97	2519	23189
98	2550	23208
99	2570	23130
100	2593	23088
101	2627	23128
102	2658	23147
103	2687	23157
104	2717	23166
105	2746	23165
106	2774	23158
107	2802	23146
108	2827	23116
109	2855	23104
110	2882	23085
111	2909	23068
112	2937	23058
113	2963	23034
114	2988	23001
115	3016	22988
116	3043	22970
117	3068	22933
118	3093	22898
119	3116	22857
120	3142	22825
121	3165	22778
122	3187	22726
123	3211	22684
124	3234	22638
125	3261	22622
126	3287	22599
127	3313	22570
128	3340	22552
129	3365	22526
130	3393	22512
131	3421	22495
132	3448	22481
133	3475	22460
134	3499	22421
135	3522	22379
136	3546	22343
137	3571	22309
138	3594	22263
139	3619	22232
140	3641	22186
141	3664	22143
142	3690	22114
143	3715	22084
144	3740	22058
145	3769	22049
146	3797	22034
147	3824	22014
148	3851	22000
149	3876	21968
150	3901	21936
151	3924	21897
152	3951	21874
153	3975	21837
154	3998	21797
155	4021	21759
156	4044	21716
157	4068	21682
158	4096	21667
159	4121	21640
160	4148	21617
161	4174	21593
162	4201	21574
163	4227	21549
164	4251	21515
165	4276	21484
166	4299	21448
167	4326	21424
168	4349	21385
169	4370	21336
170	4393	21298
171	4416	21259
172	4440	21226
173	4463	21189
174	4489	21164
175	4515	21140
176	4542	21120
177	4568	21096
178	4597	21088
179	4626	21074
180	4649	21038
181	4673	21006
182	4699	20979
183	4723	20947
184	4746	20909
185	4772	20887
186	4796	20851
187	4820	20822
188	4844	20788
189	4868	20756
190	4893	20725
191	4914	20680
192	4936	20640
193	4956	20591
194	4988	20595
195	5019	20590
196	5047	20573
197	5076	20563
198	5102	20538
199	5130	20520
200	5156	20498
201	5179	20462
202	5206	20439
203	5231	20411
204	5255	20380
205	5281	20357
206	5308	20334
207	5338	20325
208	5367	20312
209	5393	20290
210	5422	20274
211	5449	20256
212	5473	20223
213	5498	20194
214	5521	20159
215	5545	20127
216	5569	20096
217	5592	20062
218	5616	20027
219	5637	19988
220	5663	19964
221	5687	19933
222	5714	19910
223	5743	19897
224	5771	19879
225	5799	19861
226	5823	19829
227	5846	19796
228	5870	19765
229	5895	19737
230	5918	19702
231	5945	19681
232	5970	19654
233	5993	19620
234	6014	19579
235	6037	19545
236	6061	19515
237	6085	19482
238	6110	19455
239	6133	19422
240	6159	19399
241	6183	19368
242	6207	19339
243	6230	19305
244	6254	19274
245	6278	19243
246	6302	19214
247	6327	19185
248	6351	19157
249	6374	19123
250	6396	19087
251	6419	19055
252	6441	19019
253	6466	18991
254	6491	18966
255	6517	18941
256	6545	18922
257	6571	18899
258	6598	18877
259	6620	18844
260	6645	18817
261	6669	18787
262	6692	18754
263	6718	18730
264	6741	18698
265	6765	18668
266	6788	18636
267	6812	18607
268	6834	18572
269	6858	18542
270	6884	18518
271	6916	18512
272	6945	18494
273	6972	18474
274	6995	18441
275	7014	18400
276	7037	18367
277	7067	18353
278	7096	18340
279	7123	18318
280	7150	18297
281	7176	18273
282	7201	18245
283	7229	18226
284	7259	18211
285	7287	18192
286	7316	18176
287	7343	18155
288	7371	18134
289	7396	18109
290	7423	18086
291	7450	18065
292	7478	18046
293	7504	18021
294	7528	17992
295	7549	17956
296	7569	17916
297	7588	17876
298	7611	17846
299	7641	17829
300	7673	17820
301	7703	17804
302	7730	17783
303	7760	17767
304	7788	17748
305	7814	17724
306	7840	17698
307	7869	17679
308	7895	17657
309	7924	17638
310	7950	17613
311	7975	17587
312	7993	17545
313	8013	17506
314	8041	17486
315	8067	17463
316	8098	17448
317	8125	17425
318	8152	17403
319	8179	17382
320	8205	17356
321	8230	17329
322	8258	17309
323	8285	17287
324	8311	17262
325	8336	17236
326	8360	17206
327	8382	17173
328	8404	17141
329	8429	17114
330	8453	17085
331	8482	17066
332	8508	17042
333	8534	17017
334	8561	16995
335	8585	16966
336	8611	16941
337	8635	16912
338	8659	16884
339	8681	16852
340	8706	16824
341	8728	16794
342	8752	16764
343	8775	16735
344	8797	16702
345	8819	16670
346	8845	16645
347	8874	16626
348	8901	16603
349	8928	16581
350	8955	16559
351	8980	16531
352	9007	16508
353	9030	16480
354	9057	16456
355	9082	16429
356	9107	16402
357	9129	16371
358	9152	16341
359	9174	16309
360	9197	16280
361	9223	16255
362	9248	16229
363	9275	16207
364	9301	16182
365	9326	16155
366	9348	16124
367	9372	16095
368	9396	16068
369	9420	16040
370	9447	16016
371	9471	15989
372	9494	15960
373	9518	15931
374	9541	15902
375	9565	15874
376	9588	15844
377	9614	15820
378	9639	15795
379	9669	15776
380	9696	15754
381	9722	15728
382	9747	15703
383	9774	15679
384	9798	15652
385	9822	15624
386	9848	15599
387	9871	15570
388	9895	15543
389	9917	15511
390	9938	15478
391	9961	15450
392	9984	15420
393	10009	15396
394	10034	15369
395	10057	15340
396	10082	15314
397	10108	15289
398	10131	15260
399	10156	15234
400	10179	15206
401	10203	15177
402	10227	15150
403	10250	15122
404	10275	15095
405	10298	15067
406	10324	15043
407	10349	15016
408	10375	14992
409	10405	14973
410	10437	14957
411	10466	14937
412	10494	14916
413	10521	14893
414	10546	14867
415	10571	14841
416	10596	14814
417	10621	14789
418	10646	14763
419	10674	14741
420	10701	14717
421	10726	14691
422	10749	14663
423	10774	14636
424	10797	14608
425	10821	14580
426	10845	14553
427	10870	14527
428	10898	14505
429	10924	14481
430	10949	14454
431	10974	14428
432	10999	14402
433	11022	14374
434	11046	14347
435	11071	14321
436	11095	14294
437	11120	14268
438	11144	14241
439	11169	14215
440	11193	14188
441	11219	14163
442	11240	14133
443	11264	14105
444	11287	14077
445	11312	14051
446	11336	14025
447	11362	13999
448	11388	13975
449	11412	13948
450	11435	13920
451	11460	13894
452	11484	13867
453	11510	13843
454	11534	13816
455	11560	13791
456	11583	13763
457	11607	13736
458	11630	13707
459	11651	13678
460	11677	13653
461	11700	13625
462	11729	13604
463	11759	13584
464	11786	13560
465	11812	13535
466	11835	13508
467	11861	13483
468	11886	13457
469	11910	13431
470	11934	13403
471	11959	13378
472	11983	13352
473	12009	13326
474	12032	13298
475	12056	13271
476	12079	13243
477	12103	13217
478	12125	13189
479	12151	13164
480	12176	13138
481	12202	13114
482	12227	13088
483	12254	13064
484	12275	13035
485	12294	13003
486	12318	12975
487	12348	12956
488	12377	12934
489	12404	12910
490	12432	12887
491	12458	12863
492	12487	12842
493	12517	12821
494	12545	12799
495	12572	12775
496	12601	12753
497	12626	12728
498	12654	12704
499	12681	12681
500	12709	12658
501	12736	12634
502	12765	12613
503	12793	12590
504	12816	12562
505	12836	12532
506	12863	12508
507	12890	12484
508	12921	12464
509	12949	12442
510	12976	12418
511	13003	12393
512	13029	12369
513	13056	12344
514	13081	12319
515	13111	12297
516	13136	12272
517	13164	12249
518	13190	12224
519	13215	12199
520	13241	12174
521	13266	12148
522	13291	12122
