iter	Passed	Remaining
0	20	20732
1	39	19800
2	58	19594
3	76	18943
4	94	18775
5	111	18481
6	128	18158
7	143	17829
8	160	17648
9	176	17429
10	192	17287
11	207	17105
12	225	17117
13	244	17207
14	265	17462
15	287	17659
16	308	17836
17	326	17799
18	344	17781
19	362	17774
20	380	17718
21	396	17631
22	413	17564
23	429	17472
24	446	17431
25	464	17414
26	481	17361
27	499	17356
28	517	17326
29	534	17278
30	551	17228
31	570	17250
32	588	17236
33	605	17194
34	624	17215
35	642	17191
36	658	17133
37	674	17063
38	690	17004
39	707	16988
40	723	16922
41	739	16872
42	756	16837
43	775	16849
44	794	16864
45	811	16831
46	829	16829
47	848	16821
48	866	16814
49	883	16793
50	902	16795
51	923	16839
52	940	16807
53	957	16782
54	973	16730
55	988	16665
56	1004	16619
57	1020	16575
58	1037	16554
59	1057	16562
60	1075	16557
61	1093	16549
62	1112	16548
63	1129	16525
64	1146	16498
65	1164	16484
66	1181	16452
67	1198	16427
68	1216	16415
69	1234	16397
70	1253	16400
71	1270	16372
72	1286	16340
73	1304	16318
74	1321	16293
75	1339	16286
76	1358	16283
77	1376	16275
78	1396	16280
79	1416	16288
80	1436	16295
81	1458	16324
82	1477	16320
83	1495	16307
84	1515	16310
85	1532	16291
86	1551	16276
87	1568	16251
88	1586	16237
89	1604	16226
90	1626	16247
91	1647	16260
92	1666	16250
93	1683	16227
94	1702	16217
95	1719	16195
96	1736	16168
97	1754	16147
98	1772	16128
99	1789	16101
100	1806	16075
101	1821	16040
102	1839	16018
103	1857	16005
104	1875	15988
105	1894	15976
106	1912	15962
107	1929	15940
108	1948	15926
109	1965	15904
110	1983	15889
111	2002	15879
112	2019	15851
113	2039	15848
114	2057	15836
115	2075	15817
116	2091	15785
117	2107	15754
118	2124	15731
119	2142	15711
120	2159	15689
121	2177	15670
122	2195	15655
123	2213	15637
124	2231	15618
125	2249	15603
126	2269	15599
127	2286	15579
128	2304	15560
129	2321	15539
130	2337	15506
131	2354	15481
132	2371	15461
133	2389	15441
134	2408	15432
135	2425	15407
136	2444	15399
137	2457	15352
138	2470	15300
139	2481	15245
140	2493	15191
141	2505	15141
142	2517	15088
143	2529	15035
144	2541	14984
145	2554	14940
146	2568	14904
147	2587	14896
148	2605	14878
149	2622	14861
150	2642	14856
151	2662	14856
152	2683	14855
153	2702	14845
154	2720	14831
155	2738	14817
156	2756	14803
157	2775	14793
158	2794	14782
159	2812	14766
160	2831	14752
161	2848	14736
162	2867	14724
163	2885	14706
164	2904	14700
165	2923	14688
166	2947	14701
167	2967	14697
168	2987	14687
169	3005	14675
170	3024	14661
171	3042	14647
172	3061	14633
173	3081	14628
174	3100	14617
175	3118	14601
176	3137	14587
177	3154	14568
178	3174	14558
179	3192	14544
180	3209	14524
181	3227	14506
182	3247	14496
183	3266	14488
184	3285	14473
185	3303	14457
186	3321	14441
187	3339	14423
188	3356	14402
189	3373	14382
190	3391	14364
191	3409	14346
192	3427	14331
193	3444	14312
194	3462	14295
195	3480	14277
196	3500	14267
197	3518	14250
198	3536	14236
199	3556	14225
200	3575	14212
201	3593	14197
202	3612	14183
203	3630	14167
204	3651	14162
205	3669	14143
206	3688	14131
207	3707	14117
208	3728	14111
209	3747	14098
210	3767	14087
211	3784	14067
212	3802	14049
213	3819	14027
214	3837	14010
215	3855	13993
216	3873	13977
217	3891	13958
218	3911	13950
219	3929	13932
220	3948	13918
221	3965	13897
222	3983	13878
223	4000	13858
224	4016	13835
225	4033	13814
226	4052	13799
227	4069	13778
228	4085	13755
229	4105	13744
230	4125	13733
231	4142	13714
232	4161	13697
233	4177	13676
234	4194	13654
235	4212	13636
236	4230	13618
237	4250	13609
238	4272	13603
239	4292	13594
240	4313	13583
241	4331	13566
242	4348	13547
243	4365	13526
244	4382	13505
245	4400	13487
246	4448	13563
247	4475	13571
248	4497	13565
249	4517	13553
250	4538	13543
251	4559	13534
252	4578	13517
253	4596	13501
254	4616	13487
255	4634	13467
256	4650	13444
257	4665	13418
258	4682	13395
259	4698	13372
260	4715	13351
261	4731	13326
262	4750	13312
263	4767	13292
264	4785	13274
265	4804	13256
266	4821	13235
267	4839	13217
268	4857	13199
269	4875	13180
270	4893	13162
271	4912	13147
272	4928	13125
273	4945	13103
274	4960	13077
275	4976	13053
276	4992	13030
277	5007	13005
278	5026	12988
279	5047	12979
280	5067	12966
281	5086	12949
282	5104	12933
283	5122	12915
284	5140	12897
285	5159	12881
286	5177	12862
287	5196	12846
288	5214	12828
289	5229	12803
290	5247	12785
291	5265	12766
292	5282	12746
293	5298	12724
294	5316	12705
295	5334	12687
296	5352	12669
297	5369	12649
298	5388	12632
299	5404	12609
300	5423	12594
301	5441	12576
302	5458	12556
303	5475	12536
304	5492	12515
305	5509	12495
306	5525	12473
307	5541	12451
308	5558	12430
309	5576	12412
310	5592	12389
311	5613	12377
312	5672	12450
313	5703	12460
314	5728	12456
315	5745	12436
316	5763	12418
317	5780	12397
318	5798	12379
319	5814	12356
320	5831	12335
321	5850	12319
322	5870	12304
323	5890	12289
324	5907	12270
325	5925	12251
326	5944	12233
327	5963	12217
328	5983	12202
329	5999	12181
330	6021	12170
331	6040	12153
332	6058	12135
333	6081	12126
334	6101	12111
335	6120	12094
336	6142	12085
337	6160	12066
338	6176	12043
339	6194	12024
340	6213	12007
341	6231	11988
342	6250	11972
343	6266	11950
344	6284	11931
345	6303	11913
346	6320	11894
347	6338	11875
348	6355	11854
349	6371	11832
350	6388	11812
351	6404	11789
352	6420	11768
353	6440	11752
354	6457	11733
355	6475	11713
356	6493	11695
357	6513	11679
358	6532	11663
359	6551	11647
360	6571	11631
361	6591	11616
362	6607	11595
363	6624	11574
364	6642	11555
365	6659	11536
366	6675	11513
367	6693	11494
368	6709	11472
369	6724	11448
370	6738	11425
371	6755	11404
372	6774	11387
373	6793	11370
374	6810	11351
375	6829	11334
376	6848	11316
377	6867	11300
378	6885	11281
379	6902	11261
380	6919	11242
381	6937	11222
382	6954	11203
383	6971	11184
384	6987	11161
385	7003	11140
386	7019	11119
387	7035	11097
388	7052	11077
389	7073	11063
390	7092	11046
391	7110	11028
392	7125	11006
393	7142	10985
394	7159	10966
395	7177	10948
396	7196	10930
397	7215	10913
398	7235	10898
399	7254	10881
400	7271	10861
401	7288	10841
402	7305	10822
403	7324	10805
404	7342	10786
405	7360	10768
406	7378	10751
407	7397	10733
408	7415	10715
409	7434	10698
410	7450	10677
411	7467	10657
412	7485	10638
413	7502	10619
414	7518	10598
415	7534	10576
416	7550	10555
417	7565	10534
418	7582	10514
419	7598	10493
420	7615	10472
421	7633	10454
422	7652	10438
423	7673	10424
424	7693	10408
425	7717	10398
426	7735	10380
427	7755	10365
428	7775	10349
429	7796	10334
430	7816	10318
431	7833	10299
432	7848	10277
433	7864	10256
434	7879	10234
435	7895	10213
436	7912	10193
437	7933	10179
438	7950	10160
439	7969	10142
440	7987	10125
441	8005	10107
442	8026	10091
443	8043	10072
444	8060	10053
445	8079	10035
446	8095	10015
447	8113	9996
448	8131	9978
449	8147	9958
450	8165	9940
451	8182	9920
452	8200	9902
453	8221	9887
454	8242	9872
455	8260	9854
456	8279	9837
457	8297	9819
458	8315	9800
459	8334	9783
460	8351	9764
461	8370	9747
462	8387	9727
463	8403	9707
464	8419	9686
465	8436	9667
466	8452	9646
467	8467	9625
468	8485	9607
469	8502	9587
470	8520	9570
471	8539	9553
472	8557	9534
473	8575	9515
474	8591	9496
475	8608	9477
476	8626	9458
477	8643	9439
478	8662	9421
479	8678	9402
480	8695	9381
481	8711	9361
482	8727	9341
483	8744	9322
484	8760	9302
485	8777	9283
486	8795	9264
487	8813	9246
488	8831	9228
